OFFICE,STATE,OH,NAME,PARTY,ELECYR,ELECTP,QUESTION,POSPCT,NEGPCT,RATINGSC,POLLSTER,DAYIN,MONTHIN,YEARIN,DATEIN,DAYOUT,MONTHOUT,YEAROUT,DATEOUT,SAMPLE,TYPE,SOURCE,SOURCED,,,,,,
2,1,4,Wallace,1,1982,3,39,46,54,1,101,1,11,1985,11/1/1985,1,11,1985,11/1/1985,492,3,,,,,,,,
2,1,4,Wallace,1,1982,3,1,36,60,1,101,6,11,1985,11/6/1985,17,11,1985,11/17/1985,508,3,1,,,,,,,
2,1,4,Wallace,1,1982,3,1,38,63,1,101,6,11,1985,11/6/1985,17,11,1985,11/17/1985,485,3,,,,,,,,
2,1,4,Wallace,1,1982,3,1,33,51,1,101,,1,1986,1//1986,,1,1986,1//1986,500,3,,,,,,,,
2,1,4,Wallace,1,1982,3,1,31,67,1,101,23,1,1986,1/23/1986,30,1,1986,1/30/1986,501,2,1,,,,,,,
2,1,4,Wallace,1,1982,3,1,35,62,1,101,17,3,1986,3/17/1986,24,3,1986,3/24/1986,506,2,1,,,,,,,
2,1,4,Wallace,1,1982,3,1,37,64,1,101,17,3,1986,3/17/1986,24,3,1986,3/24/1986,491,3,,,,,,,,
2,1,4,Wallace,1,1982,3,1,35,62,1,101,16,4,1986,4/16/1986,23,4,1986,4/23/1986,608,2,1,,,,,,,
2,1,4,Wallace,1,1982,3,1,37,57,1,101,,5,1986,5//1986,,5,1986,5//1986,500,3,,,,,,,,
2,1,4,Wallace,1,1982,3,1,35,62,1,101,15,6,1986,6/15/1986,22,6,1986,6/22/1986,934,2,1,,,,,,,
2,1,4,Wallace,1,1982,3,1,42,55,1,101,24,6,1986,6/24/1986,7,7,1986,7/7/1986,499,3,1,,,,,,,
2,1,4,Wallace,1,1982,3,1,36,60,1,101,8,7,1986,7/8/1986,12,7,1986,7/12/1986,440,2,1,,,,,,,
2,1,4,Wallace,1,1982,3,1,33,65,1,101,16,11,1986,11/16/1986,24,11,1986,11/24/1986,499,3,1,,,,,,,
2,1,7,James,2,1994,3,1,43,,1,101,0,,1996,/0/1996,,,1996,//1996,449,,6,,,,,,,
2,1,7,James,2,1994,3,1,45,,1,101,0,,1996,/0/1996,,,1996,//1996,439,,6,,,,,,,
2,1,7,James,1,1978,1,1,29,66,1,101,24,9,1980,9/24/1980,16,10,1980,10/16/1980,670,3,1,,,,,,,
2,1,7,James,1,1978,1,1,30,70,1,101,24,9,1980,9/24/1980,6,10,1980,10/6/1980,630,3,,,,,,,,
2,1,7,James,1,1978,1,1,24,71,1,101,10,5,1981,5/10/1981,21,5,1981,5/21/1981,552,3,1,,,,,,,
2,1,7,James,1,1978,1,1,25,75,1,101,10,5,1981,5/10/1981,21,5,1981,5/21/1981,524,3,,,,,,,,
2,1,7,James,1,1978,1,1,19,79,1,101,14,9,1981,9/14/1981,5,10,1981,10/5/1981,348,3,1,,,,,,,
2,1,7,James,1,1978,1,1,25,72,1,101,26,10,1981,10/26/1981,9,11,1981,11/9/1981,479,3,,,,,,,,
2,1,7,James,1,1978,1,1,25,72,1,101,26,10,1981,10/26/1981,9,11,1981,11/9/1981,494,3,1,,,,,,,
2,1,7,James,1,1978,1,1,27,68,1,101,14,3,1982,3/14/1982,29,3,1982,3/29/1982,523,3,1,,,,,,,
2,1,7,James,1,1978,1,1,29,71,1,101,14,3,1982,3/14/1982,29,3,1982,3/29/1982,501,3,,,,,,,,
2,1,7,James,1,1978,1,1,20,75,1,101,4,11,1982,11/4/1982,18,11,1982,11/18/1982,511,33,1,,,,,,,
2,1,7,James,1,1978,1,1,21,79,1,101,4,11,1982,11/4/1982,18,11,1982,11/18/1982,486,3,,,,,,,,
2,1,7,James,2,1994,3,1,38,25,6,9003,16,2,1995,2/16/1995,26,2,1995,2/26/1995,385,2,1,,,,,,,
2,1,7,James,2,1994,3,1,47,53,1,101,22,2,1995,2/22/1995,22,3,1995,3/22/1995,352,3,,,,,,,,
2,1,7,James,2,1994,3,1,45,55,1,101,21,3,1995,3/21/1995,8,5,1995,5/8/1995,439,3,,,,,,,,
2,1,7,James,2,1994,3,1,41,45,1,104,10,4,1995,4/10/1995,13,4,1995,4/13/1995,402,3,,,,,,,,
2,1,7,James,2,1994,3,1,48,50,1,101,11,4,1995,4/11/1995,10,5,1995,5/10/1995,417,3,,,,,,,,
2,1,7,James,2,1994,3,1,45,44,1,104,18,9,1995,9/18/1995,21,9,1995,9/21/1995,400,3,,,,,,,,
2,1,7,James,2,1994,3,1,49,49,6,9003,23,1,1996,1/23/1996,1,2,1996,2/1/1996,525,3,1,,,,,,,
2,1,7,James,2,1994,3,1,41,54,6,9003,8,2,1996,2/8/1996,22,2,1996,2/22/1996,408,2,1,,,,,,,
2,1,7,James,2,1994,3,1,52,46,6,9003,11,4,1996,4/11/1996,18,4,1996,4/18/1996,508,3,1,,,,,,,
2,1,7,James,2,1994,3,1,46,51,1,9001,18,4,1996,4/18/1996,20,4,1996,4/20/1996,834,1,,,,,,,,
2,1,7,James,2,1994,3,1,43,57,1,101,15,5,1996,5/15/1996,30,5,1996,5/30/1996,449,3,,,,,,,,
2,1,7,James,2,1994,3,1,45,49,6,9003,19,5,1996,5/19/1996,25,5,1996,5/25/1996,400,2,1,,,,,,,
2,1,7,James,2,1994,3,1,53,44,1,9001,23,9,1996,9/23/1996,25,9,1996,9/25/1996,805,1,,09/01/96,,,,,,
2,1,7,James,2,1994,3,1,46,51,1,9001,21,10,1996,10/21/1996,23,10,1996,10/23/1996,814,1,,,,,,,,
2,1,7,James,2,1994,3,1,40,58,6,9003,25,10,1996,10/25/1996,2,11,1996,11/2/1996,640,3,1,,,,,,,
2,1,7,James,2,1994,3,1,42,55,6,,17,6,1997,6/17/1997,26,6,1997,6/26/1997,622,2,,,,,,,,
2,1,7,James,2,1994,3,1,38,58,6,9003,5,8,1997,8/5/1997,9,8,1997,8/9/1997,407,3,1,,,,,,,
2,1,7,James,2,1994,3,1,53,46,1,9001,10,12,1997,12/10/1997,12,12,1997,12/12/1997,836,1,,,,,,,,
2,1,7,James,2,1994,3,1,43,53,,103,25,2,1998,2/25/1998,26,2,1998,2/26/1998,500,3,,,,,,,,
2,1,7,James,2,1994,3,1,52,47,1,9001,19,4,1998,4/19/1998,21,4,1998,4/21/1998,809,1,,,,,,,,
2,1,7,James,2,1994,3,1,45,51,6,9003,21,7,1998,7/21/1998,24,8,1998,8/24/1998,400,3,1,,,,,,,
2,1,7,James,2,1994,3,1,47,,1,101,0,,,/0/,,,,//,352,,6,,,,,,,
2,1,7,James,2,1994,3,1,48,,30,101,0,,,/0/,,,,//,417,,6,,,,,,,
2,1,8,Hunt,2,1986,1,1,61,14,1,102,,4,1987,4//1987,,4,1987,4//1987,700,2,,,,,,,,
2,1,8,Hunt,2,1986,1,1,62,38,1,101,2,5,1987,5/2/1987,2,6,1987,6/2/1987,406,3,,,,,,,,
2,1,8,Hunt,2,1986,1,1,52,31,1,101,20,5,1987,5/20/1987,2,6,1987,6/2/1987,488,3,1,,,,,,,
2,1,8,Hunt,2,1990,2,1,62,38,1,101,1,6,1987,6/1/1987,1,6,1987,6/1/1987,406,6,,,,,,,,
2,1,8,Hunt,2,1986,1,1,60,33,6,9003,24,9,1987,9/24/1987,27,9,1987,9/27/1987,406,3,1,,,,,,,
2,1,8,Hunt,2,1986,1,1,59,33,1,101,1,10,1987,10/1/1987,11,10,1987,10/11/1987,502,3,1,,,,,,,
2,1,8,Hunt,2,1986,1,1,64,36,1,101,1,10,1987,10/1/1987,11,10,1987,10/11/1987,460,3,,,,,,,,
2,1,8,Hunt,2,1986,1,1,65,35,1,101,24,2,1988,2/24/1988,1,3,1988,3/1/1988,458,3,,,,,,,,
2,1,8,Hunt,2,1986,1,1,46,47,1,102,16,4,1988,4/16/1988,23,4,1988,4/23/1988,608,2,,,,,,,,
2,1,8,Hunt,2,1986,1,1,56,39,1,9003,27,8,1988,8/27/1988,31,8,1988,8/31/1988,502,2,1,,,,,,,
2,1,8,Hunt,2,1986,1,1,52,43,1,9003,27,9,1988,9/27/1988,29,9,1988,9/29/1988,501,2,1,,,,,,,
2,1,8,Hunt,2,1986,1,1,57,43,1,101,10,10,1988,10/10/1988,24,10,1988,10/24/1988,479,3,,,,,,,,
2,1,8,Hunt,2,1986,1,1,58,37,1,9003,2,11,1988,11/2/1988,5,11,1988,11/5/1988,692,2,1,,,,,,,
2,1,8,Hunt,2,1986,1,1,57,38,6,9003,18,6,1989,6/18/1989,21,6,1989,6/21/1989,511,2,1,,,,,,,
2,1,8,Hunt,2,1986,1,1,63,33,6,9003,9,7,1989,7/9/1989,18,7,1989,7/18/1989,415,3,1,,,,,,,
2,1,8,Hunt,2,1986,1,1,53,47,1,101,22,10,1989,10/22/1989,12,11,1989,11/12/1989,473,3,,,,,,,,
2,1,8,Hunt,2,1986,1,1,32,68,1,101,22,1,1990,1/22/1990,4,2,1990,2/4/1990,443,3,,,,,,,,
2,1,8,Hunt,2,1986,1,1,50,24,2,9003,28,4,1990,4/28/1990,3,5,1990,5/3/1990,420,2,,,,,,,,
2,1,8,Hunt,2,1986,1,1,55,43,1,9001,28,5,1990,5/28/1990,30,5,1990,5/30/1990,822,1,,,,,,,,
2,1,8,Hunt,2,1986,1,1,53,42,6,9003,25,7,1990,7/25/1990,5,8,1990,8/5/1990,424,3,1,,,,,,,
2,1,8,Hunt,2,1986,1,1,62,36,6,9003,30,9,1990,9/30/1990,6,10,1990,10/6/1990,563,2,1,,,,,,,
2,1,8,Hunt,2,1986,1,1,49,45,1,101,22,10,1990,10/22/1990,12,11,1990,11/12/1990,498,3,,,,,,,,
2,1,8,Hunt,2,1986,1,1,59,39,6,9003,28,10,1990,10/28/1990,2,11,1990,11/2/1990,772,2,1,,,,,,,
2,1,8,Hunt,2,1990,2,1,59,24,2,102,,12,1990,12//1990,,12,1990,12//1990,316,2,,,,,,,,
2,1,8,Hunt,2,1990,2,1,57,37,6,9003,20,1,1991,1/20/1991,23,1,1991,1/23/1991,519,3,1,,,,,,,
2,1,8,Hunt,2,1990,2,1,56,42,6,9003,3,4,1991,4/3/1991,8,4,1991,4/8/1991,503,3,1,,,,,,,
2,1,8,Hunt,2,1990,2,1,48,50,6,9003,22,6,1991,6/22/1991,3,7,1991,7/3/1991,395,3,1,,,,,,,
2,1,8,Hunt,2,1990,2,1,55,43,1,9001,,9,1991,9//1991,,9,1991,9//1991,800,2,,,,,,,,
2,1,8,Hunt,2,1990,2,1,50,45,1,101,22,10,1991,10/22/1991,11,11,1991,11/11/1991,498,3,,,,,,,,
2,1,8,Hunt,2,1990,2,1,35,64,1,102,,12,1991,12//1991,,12,1991,12//1991,525,2,,,,,,,,
2,1,8,Hunt,2,1990,2,1,30,65,1,101,22,1,1992,1/22/1992,4,2,1992,2/4/1992,464,3,,,,,,,,
2,1,8,Hunt,2,1990,2,1,24,76,1,102,,2,1992,2//1992,,2,1992,2//1992,630,2,,,,,,,,
2,1,8,Hunt,2,1990,2,1,28,70,6,9003,21,5,1992,5/21/1992,23,5,1992,5/23/1992,401,2,1,,,,,,,
2,1,8,Hunt,2,1990,2,1,32,68,10,9001,23,5,1992,5/23/1992,26,5,1992,5/26/1992,822,1,,,,,,,,
2,1,8,Hunt,2,1990,2,1,33,63,6,9003,17,6,1992,6/17/1992,23,6,1992,6/23/1992,408,3,1,,,,,,,
2,1,8,Hunt,2,1990,2,1,28,69,6,9003,6,7,1992,7/6/1992,10,7,1992,7/10/1992,416,3,1,,,,,,,
2,1,8,Hunt,2,1990,2,1,26,73,6,9003,21,9,1992,9/21/1992,26,9,1992,9/26/1992,503,2,1,,,,,,,
2,1,8,Hunt,2,1990,2,1,29,67,5,102,26,2,1993,2/26/1993,4,3,1993,3/4/1993,425,2,,,,,,,,
2,1,8,Hunt,2,1990,2,1,27,73,1,101,1,5,1993,5/1/1993,1,5,1993,5/1/1993,436,3,,,,,,,,
2,1,9,Folsom,1,1993,4,1,37,,1,101,0,,1994,/0/1994,,,1994,//1994,452,,6,,,,,,,
2,1,9,Folsom,1,1993,4,1,58,24,7,8001,3,6,1993,6/3/1993,3,6,1993,6/3/1993,700,2,,,,,,,,
2,1,9,Folsom,1,1993,4,1,38,42,6,9003,20,6,1993,6/20/1993,25,6,1993,6/25/1993,401,3,1,,,,,,,
2,1,9,Folsom,1,1993,4,1,43,41,6,9003,1,9,1993,9/1/1993,7,9,1993,9/7/1993,610,2,1,,,,,,,
2,1,9,Folsom,1,1993,4,1,36,54,6,9003,15,11,1993,11/15/1993,19,11,1993,11/19/1993,400,3,1,,,,,,,
2,1,9,Folsom,1,1993,4,1,37,60,1,101,,3,1994,3//1994,,3,1994,3//1994,452,3,,,,,,,,
2,1,9,Folsom,1,1993,4,1,35,55,6,103,25,4,1994,4/25/1994,5,5,1994,5/5/1994,399,3,,,,,,,,
2,1,9,Folsom,1,1993,4,1,36,60,1,101,,5,1994,5//1994,,5,1994,5//1994,452,3,,,,,,,,
2,1,9,Folsom,1,1993,4,1,40,52,1,9001,20,6,1994,6/20/1994,22,6,1994,6/22/1994,823,1,,,,,,,,
2,1,9,Folsom,1,1993,4,1,40,55,6,9003,24,8,1994,8/24/1994,6,9,1994,9/6/1994,404,3,1,,,,,,,
2,1,9,Folsom,1,1993,4,1,32,,1,101,0,,,/0/,,,,//,433,,6,,,,,,,
2,1,9,Folsom,1,1993,4,1,42,,30,101,0,,,/0/,,,,//,441,,6,,,,,,,
2,1,10,Siegelman,1,1998,1,1,63,29,7,105,6,5,1999,5/6/1999,11,5,1999,5/11/1999,500,2,10,05/18/99,,,,,,
2,1,10,Siegelman,1,1998,1,1,53,34,6,9003,8,8,1999,8/8/1999,5,9,1999,9/5/1999,404,,1,,,,,,,
2,1,10,Siegelman,1,1998,1,1,65,29,7,106,12,1,2000,1/12/2000,17,1,2000,1/17/2000,500,1,1,02/02/00,,,,,,
2,1,10,Siegelman,1,1998,4,1,40,,,104,26,2,2001,2/26/2001,1,3,2001,3/1/2001,421,3,,06-Apr-2001,,,,,,
2,1,10,Siegelman,1,1998,1,1,45,52,6,104,29,10,2001,10/29/2001,1,11,2001,11/1/2001,407,3,2,26-Nov-2001,,,,,,
2,1,11,Riley,2,2002,1,1,69,17,47,105,10,3,2003,3/10/2003,19,3,2003,3/19/2003,500,2,16,,,,,,,
2,1,11,Riley,2,2002,1,1,25,68,10,103,10,11,2003,11/10/2003,13,11,2003,11/13/2003,419,3,16,,,,,,,
2,1,11,Riley,2,2002,1,1,36,52,3,9023,6,5,2005,5/6/2005,8,5,2005,5/8/2005,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,44,49,3,9023,10,6,2005,6/10/2005,12,6,2005,6/12/2005,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,45,47,3,9023,8,7,2005,7/8/2005,9,7,2005,7/9/2005,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,46,46,3,9023,12,8,2005,8/12/2005,14,8,2005,8/14/2005,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,58,37,3,9023,16,9,2005,9/16/2005,18,9,2005,9/18/2005,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,49,48,3,9023,14,10,2005,10/14/2005,16,10,2005,10/16/2005,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,50,45,3,9023,11,11,2005,11/11/2005,13,11,2005,11/13/2005,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,52,41,3,9023,9,12,2005,12/9/2005,11,12,2005,12/11/2005,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,52,40,3,9023,13,1,2006,1/13/2006,15,1,2006,1/15/2006,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,52,43,3,9023,10,2,2006,2/10/2006,12,2,2006,2/12/2006,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,54,41,3,9023,10,3,2006,3/10/2006,12,3,2006,3/12/2006,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,52,43,3,9023,7,4,2006,4/7/2006,9,4,2006,4/9/2006,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,59,37,3,9023,12,5,2006,5/12/2006,14,5,2006,5/14/2006,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,63,33,3,9023,9,6,2006,6/9/2006,11,6,2006,6/11/2006,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,60,37,3,9023,14,7,2006,7/14/2006,16,7,2006,7/16/2006,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,62,35,3,9023,11,8,2006,8/11/2006,13,8,2006,8/13/2006,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,56,41,3,9023,14,9,2006,9/14/2006,17,9,2006,9/17/2006,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,54,42,3,9023,12,10,2006,10/12/2006,15,10,2006,10/15/2006,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,60,37,3,9023,8,11,2006,11/8/2006,11,11,2006,11/11/2006,600,3,32,,,,,,,
2,1,11,Riley,2,2002,1,1,59,38,3,9023,8,12,2006,12/8/2006,10,12,2006,12/10/2006,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,63,34,3,9023,12,1,2007,1/12/2007,14,1,2007,1/14/2007,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,66,30,3,9023,9,2,2007,2/9/2007,11,2,2007,2/11/2007,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,67,30,3,9023,9,3,2007,3/9/2007,11,3,2007,3/11/2007,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,66,31,3,9023,13,4,2007,4/13/2007,15,4,2007,4/15/2007,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,70,27,3,9023,11,5,2007,5/11/2007,13,5,2007,5/13/2007,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,65,32,3,9023,8,6,2007,6/8/2007,10,6,2007,6/10/2007,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,64,32,3,9023,13,7,2007,7/13/2007,15,7,2007,7/15/2007,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,62,35,3,9023,10,8,2007,8/10/2007,14,8,2007,8/14/2007,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,63,34,3,9023,14,9,2007,9/14/2007,16,9,2007,9/16/2007,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,63,33,3,9023,12,10,2007,10/12/2007,14,10,2007,10/14/2007,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,65,33,3,9023,9,11,2007,11/9/2007,11,11,2007,11/11/2007,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,66,31,3,9023,13,12,2007,12/13/2007,15,12,2007,12/15/2007,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,68,28,3,9023,16,1,2008,1/16/2008,17,1,2008,1/17/2008,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,69,29,3,9023,15,2,2008,2/15/2008,17,2,2008,2/17/2008,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,68,30,3,9023,14,3,2008,3/14/2008,16,3,2008,3/16/2008,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,63,33,3,9023,11,4,2008,4/11/2008,13,4,2008,4/13/2008,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,61,35,3,9023,16,5,2008,5/16/2008,18,5,2008,5/18/2008,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,67,31,3,9023,15,8,2008,8/15/2008,17,8,2008,8/17/2008,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,66,30,3,9023,19,9,2008,9/19/2008,21,9,2008,9/21/2008,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,70,28,3,9023,17,10,2008,10/17/2008,19,10,2008,10/19/2008,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,45,53,3,9023,21,11,2008,11/21/2008,24,11,2008,11/24/2008,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,60,37,3,9023,19,12,2008,12/19/2008,21,12,2008,12/21/2008,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,60,36,3,9023,20,1,2009,1/20/2009,22,1,2009,1/22/2009,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,64,32,3,9023,20,2,2009,2/20/2009,22,2,2009,2/22/2009,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,57,38,3,9023,20,3,2009,3/20/2009,22,3,2009,3/22/2009,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,54,42,3,9023,24,4,2009,4/24/2009,26,4,2009,4/26/2009,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,54,39,3,9023,28,5,2009,5/28/2009,29,5,2009,5/29/2009,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,59,37,3,9023,12,6,2009,6/12/2009,14,6,2009,6/14/2009,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,55,41,3,9023,17,7,2009,7/17/2009,18,7,2009,7/18/2009,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,61,36,3,9023,26,8,2009,8/26/2009,28,8,2009,8/28/2009,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,63,32,3,9023,27,9,2009,9/27/2009,28,9,2009,9/28/2009,600,3,32,,,,,,,
2,1,11,Riley,2,2006,2,1,59,38,3,9023,20,11,2009,11/20/2009,23,11,2009,11/23/2009,600,3,32,,,,,,,
2,2,2,Hickel,3,1990,3,1,35,55,3,201,27,5,1992,5/27/1992,31,5,1992,5/31/1992,525,3,,,,,,,,
2,2,2,Hickel,3,1990,3,1,18,81,1,9001,19,9,1992,9/19/1992,22,9,1992,9/22/1992,626,1,,,,,,,,
2,2,2,Hickel,3,1990,3,1,25,71,4,202,,7,1994,7//1994,,7,1994,7//1994,,2,,,,,,,,
2,2,7,Knowles,1,1994,1,1,47,49,1,9001,27,9,1996,9/27/1996,30,9,1996,9/30/1996,800,1,4,01/24/97,,,,,,
2,2,8,Murkowski,2,2002,1,1,36,57,3,8013,13,3,2003,3/13/2003,16,3,2003,3/16/2003,600,1,7,,,,,,,
2,2,8,Murkowski,2,2002,1,1,60,,14,7020,4,5,2003,5/4/2003,6,5,2003,5/6/2003,500,2,23,,,,,,,
2,2,8,Murkowski,2,2002,1,1,27,66,3,9023,6,5,2005,5/6/2005,8,5,2005,5/8/2005,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,28,64,3,9023,10,6,2005,6/10/2005,12,6,2005,6/12/2005,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,31,61,3,9023,8,7,2005,7/8/2005,9,7,2005,7/9/2005,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,29,63,3,9023,12,8,2005,8/12/2005,14,8,2005,8/14/2005,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,34,60,3,9023,14,10,2005,10/14/2005,16,10,2005,10/16/2005,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,26,68,3,9023,11,11,2005,11/11/2005,13,11,2005,11/13/2005,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,27,69,3,9023,9,12,2005,12/9/2005,11,12,2005,12/11/2005,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,28,68,3,9023,13,1,2006,1/13/2006,15,1,2006,1/15/2006,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,26,69,3,9023,10,2,2006,2/10/2006,12,2,2006,2/12/2006,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,29,65,3,9023,10,3,2006,3/10/2006,12,3,2006,3/12/2006,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,29,64,3,9023,7,4,2006,4/7/2006,9,4,2006,4/9/2006,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,23,73,3,9023,12,5,2006,5/12/2006,14,5,2006,5/14/2006,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,20,70,3,9023,9,6,2006,6/9/2006,11,6,2006,6/11/2006,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,21,76,3,9023,14,7,2006,7/14/2006,16,7,2006,7/16/2006,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,19,76,3,9023,11,8,2006,8/11/2006,13,8,2006,8/13/2006,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,14,82,3,9023,14,9,2006,9/14/2006,17,9,2006,9/17/2006,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,17,80,3,9023,12,10,2006,10/12/2006,15,10,2006,10/15/2006,600,3,32,,,,,,,
2,2,8,Murkowski,2,2002,1,1,19,78,3,9023,8,11,2006,11/8/2006,11,11,2006,11/11/2006,600,3,32,,,,,,,
2,2,9,Palin,2,2006,1,1,83,7,45,8026,4,4,2007,4/4/2007,5,4,2007,4/5/2007,406,3,16,,,,,,,
2,2,9,Palin,2,2006,1,1,81,5,45,8026,14,6,2007,6/14/2007,15,6,2007,6/15/2007,401,3,16,,,,,,,
2,2,9,Palin,2,2006,1,1,82,6,22,8026,17,9,2007,9/17/2007,18,9,2007,9/18/2007,401,3,16,,,,,,,
2,2,9,Palin,2,2006,1,1,83,11,22,203,19,10,2007,10/19/2007,21,10,2007,10/21/2007,500,2,16,,,,,,,
2,2,9,Palin,2,2006,1,1,81,9,22,8026,9,11,2007,11/9/2007,12,11,2007,11/12/2007,400,3,16,,,,,,,
2,2,9,Palin,2,2006,1,1,85,12,5,8026,10,3,2008,3/10/2008,12,3,2008,3/12/2008,401,3,16,,,,,,,
